leto,mesto,ime_tekmovalca,država,ekipa,čas
2012,150,Sebastian Langeveld,Nizozemska,Orica GreenEDGE,3:50:12

2012,151,Tyler Farrar,ZDA,Garmin-Sharp,3:54:45

2012,152,Jan Ghyselinck,Belgija,Cofidis,3:57:04

2012,153,Jimmy Engoulvent,Francija,Saur-Sojasun,3:57:36

2013,1,Chris Froome,Velika Britanija,Team Sky,83:56:40

2013,2,Nairo Quintana,Kolumbija,Movistar Team,4:20

2013,3,Joaquim Rodríguez,Španija,Team Katusha ,5:04

2013,4,Alberto Contador,Španija,Saxo-Tinkoff,6:27

2013,5,Roman Kreuziger,Češka,Saxo-Tinkoff,7:27

2013,6,Bauke Mollema,Nizozemska,Belkin Pro Cycling,11:42

2013,7,Jakob Fuglsang,Danska,Astana,12:17

2013,8,Alejandro Valverde,Španija,Movistar Team,15:26

2013,9,Daniel Navarro,Španija,Cofidis,15:52

2013,10,Andrew Talansky,ZDA,Garmin-Sharp,17:39

2013,11,Michal Kwiatkowski,Poljska,Omega Pharma-Quick-Step,18:59

2013,12,Mikel Nieve,Španija,Euskaltel-Euskadi,20:01

2013,13,Laurens ten Dam,Nizozemska,Belkin Pro Cycling,21:39

2013,14,Maxime Monfort,Belgija,RadioShack-Leopard,23:38

2013,15,Romain Bardet,Francija,AG2R La Mondiale,26:42

2013,16,Michael Rogers,Avstralija,Saxo-Tinkoff,26:51

2013,17,Daniel Moreno,Španija,Team Katusha ,32:34

2013,18,Jan Bakelants,Belgija,RadioShack-Leopard,35:51

2013,19,Richie Porte,Avstralija,Team Sky,39:41

2013,20,Andy Schleck,Luksemburg,RadioShack-Leopard,41:46

2013,21,Jose Rodolfo Serpa,Kolumbija,Lampre-Merida,45:08

2013,22,John Gadret,Francija,AG2R La Mondiale,46:00

2013,23,Igor Anton,Španija,Euskaltel-Euskadi,48:07

2013,24,Pierre Rolland,Francija,Team Europcar,52:15

2013,25,Peter Velits,Slovaška,Omega Pharma-Quick-Step,54:00

2013,26,Robert Gesink,Nizozemska,Belkin Pro Cycling,54:25

2013,27,Rui Costa,Portugalska,Movistar Team,54:34

2013,28,Wout Poels,Nizozemska,Vacansoleil-DCM,56:33

2013,29,Arnold Jeannesson,Francija,FDJ.fr ,57:06

2013,30,Andréas Klöden,Nemčija,RadioShack-Leopard,1:02:43

2013,31,Sylvain Chavanel,Francija,Omega Pharma-Quick-Step,1:03:41

2013,32,Cyril Gautier,Francija,Team Europcar,1:12:42

2013,33,Daniel Martin,Irska,Garmin-Sharp,1:13:08

2013,34,Hubert Dupont,Francija,AG2R La Mondiale,1:14:59

2013,35,Steve Morabito,Švica,BMC Racing Team,1:20:39

2013,36,Haimar Zubeldia,Španija,RadioShack-Leopard,1:24:22

2013,37,Christophe Riblon,Francija,AG2R La Mondiale,1:27:57

2013,38,Bart De Clercq,Belgija,Lotto-Belisol,1:28:06

2013,39,Cadel Evans,Avstralija,BMC Racing Team,1:30:14

2013,40,Nicolas Roche,Irska,Saxo-Tinkoff,1:34:17

2013,41,Tom Dumoulin,Nizozemska,Argos-Shimano,1:34:30

2013,42,Mikel Astarloza,Španija,Euskaltel-Euskadi,1:36:27

2013,43,Jesús Hernández,Španija,Saxo-Tinkoff,1:36:40

2013,44,Alexandre Geniez,Francija,FDJ.fr ,1:38:06

2013,45,Tejay van Garderen,ZDA,BMC Racing Team,1:38:57

2013,46,Alexis Vuillermoz,Francija,Sojasun,1:40:05

2013,47,Rubén Plaza,Španija,Movistar Team,1:40:35

2013,48,Eduard Vorganov,Rusija,Team Katusha ,1:42:41

2013,49,Davide Malacarne,Italija,Team Europcar,1:44:50

2013,50,Lars Petter Nordhaug,Norveška,Belkin Pro Cycling,1:49:42

2013,51,Yuri Trofimov,Rusija,Team Katusha ,1:49:54

2013,52,Maxime Mederel,Francija,Sojasun,1:53:01

2013,53,Laurent Didier,Luksemburg,RadioShack-Leopard,1:58:53

2013,54,Andrey Amador,Kostarika,Movistar Team,1:58:59

2013,55,Damiano Cunego,Italija,Lampre-Merida,1:59:38

2013,56,Amaël Moinard,Francija,BMC Racing Team,2:00:03

2013,57,Przemyslaw Niemiec,Poljska,Lampre-Merida,2:00:28

2013,58,Tony Gallopin,Francija,RadioShack-Leopard,2:02:59

2013,59,Pierrick Fedrigo,Francija,FDJ.fr ,2:04:19

2013,60,Thomas Danielson,ZDA,Garmin-Sharp,2:05:28

2013,61,Guillaume Levarlet,Francija,Cofidis,2:07:01

2013,62,Philippe Gilbert,Belgija,BMC Racing Team,2:07:11

2013,63,Jérome Coppel,Francija,Cofidis,2:09:13

2013,64,Bram Tankink,Nizozemska,Belkin Pro Cycling,2:10:12

